"label"	"Genus"	"relative_abundance"	"mean_real_ab_per"
"M89-PT-A"	"Acetobacteraceae"	0.000705929810407422	0.0705929810407422
"M89-PT-A"	"Acinetobacter"	0.0146396396396396	1.46396396396396
"M89-PT-A"	"Actinomyces"	0.00233629151539599	0.233629151539599
"M89-PT-A"	"Aeromonas"	0.0067735646093855	0.67735646093855
"M89-PT-A"	"Akkermansia"	0.0261530186903321	2.61530186903321
"M89-PT-A"	"Alicyclobacillus"	0.000168078526287482	0.0168078526287482
"M89-PT-A"	"Alistipes"	0.036439424499126	3.6439424499126
"M89-PT-A"	"Alloprevotella"	0.00786607503025413	0.786607503025413
"M89-PT-A"	"Aminobacter"	0.000437004168347452	0.0437004168347452
"M89-PT-A"	"Anaerostipes"	0.00401707677827081	0.401707677827081
"M89-PT-A"	"Bacillus"	0.000655506252521178	0.0655506252521178
"M89-PT-A"	"Bacteroides"	0.1236553717897	12.36553717897
"M89-PT-A"	"Barnesiella"	0.00763076509345166	0.763076509345166
"M89-PT-A"	"Bifidobacterium"	0.124176415221191	12.4176415221191
"M89-PT-A"	"Blautia"	0.0122025010084712	1.22025010084712
"M89-PT-A"	"Butyricicoccus"	0.00462215947290574	0.462215947290574
"M89-PT-A"	"Candidatus_Ancillula"	0.000117654968401237	0.0117654968401237
"M89-PT-A"	"Candidatus_Saccharimonas"	0.000504235578862445	0.0504235578862445
"M89-PT-A"	"Catenibacterium"	0.00460535162027699	0.460535162027699
"M89-PT-A"	"Christensenellaceae_R-7_group"	0.000252117789431222	0.0252117789431222
"M89-PT-A"	"Clostridia_UCG-014"	0.00063869839989243	0.063869839989243
"M89-PT-A"	"Colidextribacter"	0.000470619873604948	0.0470619873604948
"M89-PT-A"	"Collinsella"	0.00783245932499664	0.783245932499664
"M89-PT-A"	"Comamonadaceae"	0.000554659136748689	0.0554659136748689
"M89-PT-A"	"Coprococcus"	0.0032102998520909	0.32102998520909
"M89-PT-A"	"Corynebacterium"	0.0017816323786473	0.17816323786473
"M89-PT-A"	"Craurococcus-Caldovatus"	0.000403388463089956	0.0403388463089956
"M89-PT-A"	"Cutibacterium"	0.00719376092510421	0.719376092510421
"M89-PT-A"	"Dorea"	0.00993344090359016	0.993344090359016
"M89-PT-A"	"Eggerthella"	0.00117654968401237	0.117654968401237
"M89-PT-A"	"Enterobacter"	0.00554659136748689	0.554659136748689
"M89-PT-A"	"Erysipelatoclostridium"	0.00398346107301331	0.398346107301331
"M89-PT-A"	"Erysipelotrichaceae_UCG-003"	0.004538120209762	0.4538120209762
"M89-PT-A"	"Escherichia-Shigella"	0.0884429205324728	8.84429205324728
"M89-PT-A"	"Faecalibacterium"	0.0352460669624849	3.52460669624849
"M89-PT-A"	"Fournierella"	0.000352964905203711	0.0352964905203711
"M89-PT-A"	"Fusobacterium"	0.00613486620949308	0.613486620949308
"M89-PT-A"	"Galbitalea"	0.00114293397875487	0.114293397875487
"M89-PT-A"	"Gemella"	0.00648783111469679	0.648783111469679
"M89-PT-A"	"Granulicatella"	0.00258840930482721	0.258840930482721
"M89-PT-A"	"Holdemanella"	0.0068407960199005	0.68407960199005
"M89-PT-A"	"Incertae_Sedis"	0.000621890547263681	0.0621890547263681
"M89-PT-A"	"Isoptericola"	0.00127739679978486	0.127739679978486
"M89-PT-A"	"Lachnoclostridium"	0.00746268656716418	0.746268656716418
"M89-PT-A"	"Lachnospiraceae"	0.00625252117789431	0.625252117789431
"M89-PT-A"	"Lachnospiraceae_UCG-004"	0.00100847115772489	0.100847115772489
"M89-PT-A"	"Lachnospiraceae_UCG-008"	0.015614495092107	1.5614495092107
"M89-PT-A"	"Lactobacillus"	0.00100847115772489	0.100847115772489
"M89-PT-A"	"Leptotrichia"	0.00225225225225225	0.225225225225225
"M89-PT-A"	"Marinobacter"	0.00247075433642598	0.247075433642598
"M89-PT-A"	"Methylobacterium-Methylorubrum"	0.00151270673658733	0.151270673658733
"M89-PT-A"	"Muribaculaceae"	0.0004538120209762	0.04538120209762
"M89-PT-A"	"Neisseria"	0.00161355385235982	0.161355385235982
"M89-PT-A"	"Nocardioides"	0.00026892564205997	0.026892564205997
"M89-PT-A"	"Oribacterium"	0.000823584778808659	0.0823584778808659
"M89-PT-A"	"Parabacteroides"	0.0145892160817534	1.45892160817534
"M89-PT-A"	"Parvimonas"	0.000941239747209896	0.0941239747209896
"M89-PT-A"	"Peptococcus"	0.000201694231544978	0.0201694231544978
"M89-PT-A"	"Peptostreptococcus"	0.0009076240419524	0.09076240419524
"M89-PT-A"	"Phascolarctobacterium"	0.00161355385235982	0.161355385235982
"M89-PT-A"	"Porphyromonas"	0.000386580610461207	0.0386580610461207
"M89-PT-A"	"Prevotella"	0.0153119537447896	1.53119537447896
"M89-PT-A"	"Prevotellaceae_NK3B31_group"	0.000739545515664919	0.0739545515664919
"M89-PT-A"	"Rickettsiella"	0.00018488637891623	0.018488637891623
"M89-PT-A"	"Roseburia"	0.0181692886916767	1.81692886916767
"M89-PT-A"	"Rothia"	0.00500874008336695	0.500874008336695
"M89-PT-A"	"Ruminococcus"	0.176196719107167	17.6196719107167
"M89-PT-A"	"Streptococcus"	0.0741394379454081	7.41394379454081
"M89-PT-A"	"Streptomyces"	0.00236990722065349	0.236990722065349
"M89-PT-A"	"Subdoligranulum"	0.0059331719779481	0.59331719779481
"M89-PT-A"	"Sutterella"	0.00262202501008471	0.262202501008471
"M89-PT-A"	"TM7x"	0.00110931827349738	0.110931827349738
"M89-PT-A"	"UCG-002"	0.0013278203576711	0.13278203576711
"M89-PT-A"	"Veillonella"	0.0018152480839048	0.18152480839048
"M89-PT-A"	"[Eubacterium]_eligens_group"	0.00257160145219847	0.257160145219847
"M89-PT-A"	"[Eubacterium]_nodatum_group"	0.000168078526287482	0.0168078526287482
"M89-PT-A"	"[Ruminococcus]_gnavus_group"	0.0213795885437676	2.13795885437676
"M89-PT-A"	"[Ruminococcus]_torques_group"	0.0372125857200484	3.72125857200484
"M89-PT-Ac"	"Acinetobacter"	0.00296430822801909	0.296430822801909
"M89-PT-Ac"	"Actinomyces"	0.00256656560501906	0.256656560501906
"M89-PT-Ac"	"Aeromonas"	0.00258907933839642	0.258907933839642
"M89-PT-Ac"	"Agathobacter"	0.000165100711433975	0.0165100711433975
"M89-PT-Ac"	"Alicyclobacillus"	0.000157596133641521	0.0157596133641521
"M89-PT-Ac"	"Alistipes"	0.000135082400264161	0.0135082400264161
"M89-PT-Ac"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	4.50274667547204e-05	0.00450274667547204
"M89-PT-Ac"	"Aminobacter"	9.00549335094408e-05	0.00900549335094408
"M89-PT-Ac"	"Anaerococcus"	0.000405247200792483	0.0405247200792483
"M89-PT-Ac"	"Anaerostipes"	0.0013208056914718	0.13208056914718
"M89-PT-Ac"	"Anaerovibrio"	9.00549335094408e-05	0.00900549335094408
"M89-PT-Ac"	"Anoxybacillus"	0.000247651067150962	0.0247651067150962
"M89-PT-Ac"	"Azorhizobium"	0.00218383213760394	0.218383213760394
"M89-PT-Ac"	"Bacillus"	0.000202623600396242	0.0202623600396242
"M89-PT-Ac"	"Bacteroides"	0.35106414913097	35.106414913097
"M89-PT-Ac"	"Barnesiella"	0.0026416113829436	0.26416113829436
"M89-PT-Ac"	"Bifidobacterium"	0.000585357067811365	0.0585357067811365
"M89-PT-Ac"	"Blautia"	0.00458529703118902	0.458529703118902
"M89-PT-Ac"	"Bryobacter"	3.00183111698136e-05	0.00300183111698136
"M89-PT-Ac"	"Butyricicoccus"	0.00111818209107556	0.111818209107556
"M89-PT-Ac"	"Butyricimonas"	9.00549335094408e-05	0.00900549335094408
"M89-PT-Ac"	"Campylobacter"	0.0389262450094558	3.89262450094558
"M89-PT-Ac"	"Candidatus_Alysiosphaera"	2.25137333773602e-05	0.00225137333773602
"M89-PT-Ac"	"Candidatus_Profftella"	4.50274667547204e-05	0.00450274667547204
"M89-PT-Ac"	"Capnocytophaga"	0.000180109867018882	0.0180109867018882
"M89-PT-Ac"	"Cloacibacillus"	6.75412001320806e-05	0.00675412001320806
"M89-PT-Ac"	"Clostridia_UCG-014"	4.50274667547204e-05	0.00450274667547204
"M89-PT-Ac"	"Clostridium_sensu_stricto_1"	0.00527571818809474	0.527571818809474
"M89-PT-Ac"	"Clostridium_sensu_stricto_13"	0.00396241707441539	0.396241707441539
"M89-PT-Ac"	"Colidextribacter"	4.50274667547204e-05	0.00450274667547204
"M89-PT-Ac"	"Collinsella"	0.00596613934500045	0.596613934500045
"M89-PT-Ac"	"Coprococcus"	0.000915558490679314	0.0915558490679314
"M89-PT-Ac"	"Corynebacterium"	0.0124425899798877	1.24425899798877
"M89-PT-Ac"	"Craurococcus-Caldovatus"	4.50274667547204e-05	0.00450274667547204
"M89-PT-Ac"	"Cutibacterium"	0.00216131840422658	0.216131840422658
"M89-PT-Ac"	"Desemzia"	0.000202623600396242	0.0202623600396242
"M89-PT-Ac"	"Dialister"	0.000390238045207577	0.0390238045207577
"M89-PT-Ac"	"Diaphorobacter"	0.000765466934830246	0.0765466934830246
"M89-PT-Ac"	"Dorea"	0.00135832858043406	0.135832858043406
"M89-PT-Ac"	"Enterobacter"	0.000202623600396242	0.0202623600396242
"M89-PT-Ac"	"Enterococcus"	0.0690120973794014	6.90120973794014
"M89-PT-Ac"	"Epulopiscium"	0.000720439468075526	0.0720439468075526
"M89-PT-Ac"	"Eremococcus"	0.000270164800528322	0.0270164800528322
"M89-PT-Ac"	"Erysipelatoclostridium"	0.00548584636628343	0.548584636628343
"M89-PT-Ac"	"Escherichia-Shigella"	0.00719689010296281	0.719689010296281
"M89-PT-Ac"	"Exiguobacterium"	0.000292678533905682	0.0292678533905682
